year,wheat-rainfed,rye,rye-irrigated, barley-rainfed,tirticale,maize-for-grain-rainfed,sunflower,ervil,field-pea-rainfed,lentils,vetch,maize-sillage-irrigated,Almond-rainfed,vineyards
,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha,Kg-ha
2000,2950,1250,2525,3112,2330,6950,464,772,837,853,850,46000,92,5990
2001,1040,450,1500,1030,1005,7145,336,260,225,257,258,46260,239,4010
2002,1650,800,1500,2080,1600,7000,600,700,625,630,725,45300,210,4800
2003,1500,700,1400,1300,800,4300,500,450,350,550,900,45000,200,6177
2004,2600,1400,1800,2900,1100,6000,900,800,800,800,700,50000,100,7315
2005,400,400,1000,550,500,500,200,50,30,50,50,47000,100,5625
2006,1650,650,1000,1886,1000,3000,550,750,600,650,700,46500,1000,7356
2007,1750,1000,1100,2500,1400,3000,550,700,600,600,700,46000,1000,5695
2008,2350,980,1100,2667,1800,100,600,700,800,600,800,45000,550,5701
2009,1443,600,900,1850,880,1000,612,630,800,465,700,45000,1000,5100
2010,1020,507,900,1700,651,795,600,600,719,380,647,45000,1300,6500
2011,1800,600,1100,2000,650,750,600,750,800,600,800,45000,1100,5500
2012,1700,988,1200,1970,600,760,600,700,760,600,650,45000,1190,5600
2013,1790,1135,2000,2614,2085,700,580,880,1557,660,998,45000,657,10758
2014,1060,685,2000,1497,960,800,755,890,900,410,895,45000,680,5810
2015,1420,965,2620,1739,1590,900,633,827,705,433,794,45000,1300,4500
2016,1500,1190,2800,2086,2048,900,680,996,1200,530,1000,45000,900,4390
2017
