year,annual-hydric-deficit
1987,353
1988,220
1989,181
1990,-359
1991,-368
1992,-172
1993,-33
1994,-117
1995,184
1996,-84
1997,-19
1998,-81
1999,-21
2000,-95
2001,20
2002,100
2003,-464
2004,80
2005,-121
2006,15
2007,139
2008,-10
2009,68
2010,33
2011,-189
2012,23
2013,46
2014,-59
2015,-195
2016,-67
