year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,169,26,29,130
1988,262,-160,-53,171
1989,74,9,-99,197
1990,-30,-170,-180,21
1991,-22,-132,-204,-10
1992,31,-163,-140,101
1993,-2,-104,-82,156
1994,54,-108,-125,62
1995,175,-51,-20,79
1996,-12,-113,-51,92
1997,64,-62,-116,94
1998,-29,-155,-67,170
1999,43,-53,-112,101
2000,88,-170,-56,43
2001,176,-126,-155,126
2002,60,-129,-45,214
2003,-5,-207,-302,50
2004,44,-72,46,62
2005,66,-139,-98,49
2006,44,-80,-71,121
2007,100,-92,22,109
2008,69,-113,-95,129
2009,93,-91,-129,195
2010,20,-150,34,129
2011,29,-230,-64,77
2012,52,-61,-143,174
2013,40,57,-126,75
2014,-7,-107,-32,88
2015,45,-194,-162,117
2016,99,-31,-199,64
