year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1328,9,-259,5
1988,1616,9,-339,3
1989,1301,10,-169,6
1990,1475,8,-264,2
1991,931,9,-143,12
1992,1269,8,-177,4
1993,1466,8,-469,5
1994,1141,8,-323,3
1995,1631,11,-346,9
1996,1458,7,-365,0
1997,1509,11,-289,3
1998,1213,8,-116,5
1999,1153,8,-325,4
2000,1350,9,-285,8
2001,1045,10,-168,18
2002,1480,9,-248,9
2003,1206,8,-191,9
2004,1331,11,-229,5
2005,1463,11,-379,15
2006,1420,10,-345,0
2007,1287,10,-197,11
2008,1487,10,-285,4
2009,1327,10,-243,7
2010,1222,8,-235,8
2011,1406,9,-188,8
2012,1354,12,-186,14
2013,956,9,-104,16
2014,1319,8,-300,16
2015,1363,10,-255,2
2016,1576,12,-199,0
2016
2017,1902,11,-203,1
2018,1352,8,-275,5
2019,1684,11,-275,3
2020,1584,11,-362,3
2021,1549,10,-290,1
2022,1307,9,-118,13
2023,1403,10,-430,9
2024,1516,9,-395,10
2025,1732,11,-389,1
2026,1549,11,-309,12
2027,1553,10,-408,1
2028,1615,10,-331,7
2029,1485,10,-339,3
2030,1415,11,-276,8
2031,1549,9,-284,1
2032,1516,11,-322,12
2033,1487,10,-280,5
2034,1750,10,-292,0
2035,1628,9,-369,7
2036,1385,8,-223,7
2037,1587,10,-259,6
2038,1609,11,-293,4
2039,1442,10,-296,12
2040,1646,10,-258,9
2041,1438,12,-335,15
2042,1338,10,-248,5
2043,1459,10,-344,12
2044,1530,11,-234,9
2045,1502,10,-310,5
2046,1436,11,-197,1

min,,4
max,,17
steps,,8
decimal
