year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-2.6,11.4,16.4,5.2
1988,2.5,13.2,16.6,5.1
1989,3.6,12.6,17.2,5.0
1990,4.3,12.3,16.0,4.7
1991,1.7,10.4,17.8,4.0
1992,2.9,13.2,17.8,4.5
1993,1.7,14.4,16.0,4.0
1994,3.6,13.0,18.5,6.5
1995,2.3,12.1,17.5,4.5
1996,-0.7,12.3,15.0,4.0
1997,2.5,11.9,17.5,4.8
1998,4.0,13.7,16.4,4.0
1999,2.9,13.1,18.3,4.8
2000,3.6,14.4,16.5,6.7
2001,3.0,12.5,17.0,5.4
2002,3.7,13.4,17.0,5.4
2003,1.4,14.7,18.8,4.8
2004,1.5,12.3,17.2,5.0
2005,1.3,13.0,17.0,5.0
2006,-0.4,12.8,18.4,7.5
2007,4.8,15.0,15.9,4.2
2008,3.8,13.8,16.6,4.9
2009,0.1,13.8,17.6,5.0
2010,0.0,12.2,16.5,3.0
2011,2.1,14.1,16.9,5.6
2012,1.8,13.2,17.0,4.8
2013,0.3,12.3,17.1,5.7
2014,4.5,13.3,17.1,6.8
2015,2.5,12.6,18.2,7.0
2016,2.8,13.0,18.0,4.5
