year,annual-precipitations
1987,624
1988,624
1989,669
1990,624
1991,603
1992,776
1993,643
1994,779
1995,642
1996,986
1997,667
1998,608
1999,902
2000,821
2001,638
2002,602
2003,718
2004,700
2005,510
2006,609
2007,598
2008,801
2009,706
2010,610
2011,437
2012,595
2013,681
2014,864
2015,573
2016,689
