year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,29,-193,-260,182
1988,96,-35,-262,-17
1989,-1,-146,-261,2
1990,-24,-62,-325,101
1991,52,-138,-295,85
1992,-74,36,-123,121
1993,-102,-11,-273,125
1994,4,-152,-143,118
1995,25,-249,-216,104
1996,179,-192,-141,246
1997,-51,-132,-221,101
1998,-21,-158,-236,60
1999,13,-37,-210,178
2000,-29,-103,-121,142
2001,55,-129,-221,11
2002,-42,-179,-233,110
2003,8,-299,-338,254
2004,77,-166,-270,68
2005,-81,-239,-307,95
2006,79,-274,-204,-19
2007,18,-83,-266,1
2008,53,-31,-306,160
2009,4,-45,-365,59
2010,67,-162,-309,75
2011,-44,-339,-295,87
2012,-125,-77,-278,58
2013,67,-51,-272,0
2014,59,-236,-1,108
2015,-25,-260,-172,-51
2016,62,-135,-295,65
