year,A1,A2,A3
,label A1,label A2,label A3
1987,9,2515,104
1988,20,2552,165
1989,20,2625,154
1990,26,2686,205
1991,10,2914,109
1992,19,2973,145
1993,14,2559,131
1994,8,2659,87
1995,10,2544,85
1996,23,2702,208
1997,7,2800,90
1998,22,2597,151
1999,10,2538,101
2000,12,2653,128
2001,29,2658,192
2002,16,2780,118
2003,10,2697,103
2004,16,2769,133
2005,10,2623,106
2006,15,2486,116
2007,28,2977,187
2008,16,2498,124
2009,20,2923,131
2010,7,2762,81
2011,23,2627,171
2012,10,2630,90
2013,20,2713,160
2014,23,2594,160
2015,12,2739,141
2016,16,2620,145
2016
2017,42,2214,287
2018,46,2470,333
2019,49,2481,326
2020,60,2517,405
2021,46,2229,346
2022,47,2449,352
2023,30,2243,227
2024,33,2012,244
2025,35,2257,240
2026,19,2463,184
2027,22,2313,260
2028,51,2273,306
2029,44,2231,385
2030,40,2283,367
2031,53,2358,348
2032,18,2445,159
2033,29,2462,191
2034,39,2271,307
2035,28,2263,197
2036,48,2450,296
2037,41,2557,308
2038,31,2428,224
2039,51,2260,349
2040,39,2260,249
2041,36,2153,263
2042,33,2465,238
2043,45,2394,297
2044,52,2458,388
2045,41,2283,261
2046,37,2535,245

min,,2000
max,,3250
steps,,10
decimal



