year,F1,F3,M4
,label F1,label F3,label M4
1987,37,125,4
1988,56,127,5
1989,56,137,3
1990,45,134,3
1991,63,132,3
1992,77,139,3
1993,44,127,5
1994,71,141,2
1995,49,130,4
1996,72,132,4
1997,58,132,2
1998,56,141,3
1999,46,123,3
2000,60,131,3
2001,62,137,4
2002,69,138,4
2003,70,141,2
2004,60,128,3
2005,67,132,4
2006,50,129,2
2007,64,138,4
2008,39,127,2
2009,51,140,4
2010,51,136,3
2011,56,132,2
2012,53,139,3
2013,66,131,2
2014,65,131,3
2015,63,137,4
2016,43,130,3
2016
2017,40,124,7
2018,49,136,6
2019,53,134,7
2020,49,127,4
2021,44,117,5
2022,50,135,5
2023,41,113,4
2024,28,113,3
2025,34,120,5
2026,49,140,3
2027,40,119,4
2028,34,128,4
2029,23,126,7
2030,24,130,5
2031,42,117,5
2032,46,130,6
2033,38,131,2
2034,43,116,4
2035,38,120,6
2036,53,131,6
2037,65,127,4
2038,45,126,6
2039,38,117,5
2040,39,120,4
2041,25,112,5
2042,60,133,7
2043,23,145,4
2044,56,135,5
2045,27,125,7
2046,50,133,6

min,,80
max,,150
steps,,11
decimal
