year,annual-estival-days
1987,22
1988,35
1989,47
1990,34
1991,31
1992,42
1993,37
1994,43
1995,52
1996,29
1997,50
1998,28
1999,37
2000,34
2001,35
2002,34
2003,73
2004,37
2005,48
2006,51
2007,28
2008,43
2009,37
2010,35
2011,46
2012,37
2013,38
2014,34
2015,52
2016,50

min,16
max,130
steps,9
decimal
