year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,57,137,0
1988,96,144,0
1989,101,148,0
1990,79,132,0
1991,83,138,0
1992,85,133,0
1993,87,135,0
1994,80,143,0
1995,72,135,0
1996,79,137,1
1997,64,140,0
1998,82,137,0
1999,81,131,0
2000,93,142,0
2001,88,134,0
2002,95,140,0
2003,86,141,0
2004,86,136,0
2005,90,144,0
2006,88,140,0
2007,89,141,0
2008,68,144,0
2009,75,150,0
2010,82,138,0
2011,84,123,1
2012,65,134,0
2013,56,153,0
2014,78,130,0
2015,81,134,0
2016,77,134,1
2016
2017,74,131,1
2018,71,141,0
2019,89,148,0
2020,53,134,0
2021,62,140,0
2022,109,154,0
2023,59,140,0
2024,74,135,1
2025,80,134,0
2026,63,143,1
2027,81,136,0
2028,82,136,1
2029,60,131,1
2030,68,140,1
2031,69,131,0
2032,40,132,1
2033,78,138,1
2034,78,142,0
2035,69,134,1
2036,66,132,0
2037,45,121,0
2038,72,129,0
2039,49,137,0
2040,61,135,0
2041,75,132,0
2042,58,119,0
2043,61,143,0
2044,66,133,2
2045,60,124,0
2046,54,128,0

min,,90,0
max,,190,6
steps,,11,7
decimal
