year,annual-average-temperature
1987,7.9
1988,9.5
1989,9.8
1990,9.4
1991,8.3
1992,9.5
1993,9.0
1994,10.3
1995,9.2
1996,7.6
1997,9.2
1998,9.5
1999,9.8
2000,10.2
2001,9.5
2002,10.0
2003,10.2
2004,9.2
2005,9.2
2006,9.5
2007,9.9
2008,9.6
2009,9.3
2010,8.1
2011,9.9
2012,9.4
2013,8.9
2014,10.5
2015,10.3
2016,9.6

min,6
max,14
steps,9
decimal
