year,A1,A2,A3
,label A1,label A2,label A3
1987,7,3090,74
1988,32,3269,216
1989,10,3244,82
1990,12,2977,98
1991,15,3233,110
1992,22,3082,130
1993,3,2999,53
1994,2,3340,51
1995,20,3080,141
1996,21,3217,161
1997,7,3226,94
1998,9,3179,78
1999,22,3110,156
2000,14,3369,118
2001,20,3214,140
2002,16,3048,133
2003,15,3318,88
2004,8,3114,59
2005,13,3175,109
2006,20,3223,160
2007,13,2997,95
2008,18,3075,112
2009,12,3270,70
2010,22,3391,188
2011,10,2898,107
2012,12,2891,105
2013,3,3103,40
2014,15,3083,112
2015,23,2873,173
2016,14,2947,118
2016
2017,25,2631,233
2018,35,2892,218
2019,27,3080,173
2020,32,2823,221
2021,16,2839,139
2022,35,3205,220
2023,20,2754,191
2024,25,2805,237
2025,8,2914,73
2026,11,2816,139
2027,17,2598,138
2028,18,2868,149
2029,27,2735,198
2030,45,2998,377
2031,34,2669,221
2032,31,2540,198
2033,22,2995,156
2034,37,3027,244
2035,39,2760,244
2036,29,2871,197
2037,22,2793,142
2038,28,2794,178
2039,32,2821,211
2040,33,2623,222
2041,36,2744,225
2042,13,2494,102
2043,27,2924,181
2044,31,2760,223
2045,15,2884,130
2046,15,2682,108

min,,2000
max,,4000
steps,,9
decimal
