year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,13,6,-41,3,6,-141,70,45,116
1988,22,32,-80,5,19,-252,41,31,107
1989,12,26,-132,4,5,-233,54,33,115
1990,12,21,-134,6,8,-271,47,39,96
1991,14,25,-129,3,12,-214,55,37,153
1992,25,27,-143,4,8,-221,46,42,184
1993,5,27,-115,4,5,-235,48,30,102
1994,9,42,-173,4,2,-317,56,23,139
1995,19,35,-92,4,13,-224,55,32,109
1996,20,30,-190,7,9,-389,50,42,99
1997,10,22,-116,5,9,-284,46,42,123
1998,15,33,-24,3,7,-32,63,36,180
1999,11,35,-182,2,15,-342,54,39,114
2000,17,29,-165,5,11,-362,48,55,120
2001,18,39,-116,4,11,-201,43,42,132
2002,26,37,-113,4,12,-224,39,22,77
2003,4,34,-94,2,10,-218,63,42,122
2004,5,38,-73,4,8,-202,55,30,147
2005,12,35,-120,3,4,-172,57,22,109
2006,16,28,-136,4,19,-286,46,33,135
2007,7,16,-70,5,13,-207,59,26,102
2008,17,20,-99,1,11,-216,68,25,139
2009,1,19,-92,2,7,-182,68,39,91
2010,17,51,-66,4,16,-174,51,46,127
2011,9,37,-140,6,11,-256,43,33,136
2012,8,13,-117,1,12,-219,56,35,126
2013,11,20,-33,3,4,-30,64,21,170
2014,14,24,-55,2,9,-206,48,34,96
2015,23,23,-44,4,18,-193,60,16,140
2016,16,19,-89,3,11,-248,48,38,89
2016
2017,15,18,-97,5,16,-268,56,20,69
2018,19,19,-98,4,21,-238,49,30,110
2019,24,29,-35,3,11,-121,49,15,113
2020,24,20,-130,6,13,-227,49,18,107
2021,16,28,-166,4,6,-314,54,12,109
2022,27,50,-125,5,20,-291,52,22,100
2023,23,10,-129,4,14,-285,46,16,113
2024,25,20,-73,4,15,-273,46,22,94
2025,12,27,-75,4,6,-172,53,32,109
2026,16,21,-162,6,9,-359,62,22,102
2027,25,25,-122,4,10,-321,48,6,93
2028,10,32,-46,5,11,-175,36,21,111
2029,26,15,-76,4,16,-295,61,24,84
2030,43,25,-187,4,17,-397,40,31,73
2031,33,22,-179,6,12,-337,35,18,83
2032,28,5,-144,5,19,-325,45,23,107
2033,12,38,-63,5,17,-174,63,23,102
2034,27,32,-96,3,23,-277,56,23,90
2035,29,18,-130,6,30,-294,44,20,119
2036,22,18,-68,3,18,-195,47,29,66
2037,29,5,-19,4,3,-163,49,44,60
2038,24,17,-131,1,16,-278,56,17,109
2039,20,10,-139,7,10,-278,52,30,134
2040,29,16,-61,2,22,-202,56,13,127
2041,25,21,-103,5,24,-224,41,28,97
2042,8,13,-141,4,8,-259,40,22,78
2043,10,20,-85,6,16,-245,77,34,125
2044,26,21,-94,5,18,-222,49,31,131
2045,14,24,-110,3,8,-266,47,43,79
2046,17,14,-137,3,9,-232,43,26,150

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
