year,annual-precipitations
1987,585
1988,490
1989,642
1990,388
1991,448
1992,576
1993,326
1994,362
1995,354
1996,519
1997,535
1998,417
1999,444
2000,592
2001,416
2002,628
2003,709
2004,559
2005,479
2006,529
2007,453
2008,591
2009,314
2010,367
2011,339
2012,379
2013,563
2014,590
2015,425
2016,380
