year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,123,60,72,329
1988,89,270,18,112
1989,102,118,169,253
1990,54,65,94,175
1991,156,30,83,180
1992,37,235,220,84
1993,75,87,89,76
1994,24,68,85,186
1995,15,62,73,203
1996,132,101,76,209
1997,140,116,132,147
1998,106,106,47,158
1999,97,137,140,69
2000,93,120,89,291
2001,47,105,145,118
2002,86,345,116,82
2003,189,180,157,183
2004,165,188,127,78
2005,32,111,131,205
2006,131,16,222,160
2007,82,115,70,187
2008,47,260,103,182
2009,50,70,122,72
2010,115,89,82,81
2011,130,69,19,121
2012,65,101,54,158
2013,169,228,42,124
2014,90,116,227,158
2015,161,90,106,68
2016,71,113,44,153
