year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1-FGN,label C2,label C3-FGN,label C12,label M1-FGN,label M2,label M8,label Co2,label Co3
1987,4,0,-407,6,3,-556,26,0,43
1988,0,0,-363,9,0,-547,20,0,13
1989,2,0,-412,9,0,-591,15,4,57
1990,11,0,-331,7,1,-585,17,6,77
1991,1,0,-431,8,0,-622,24,1,16
1992,0,0,-268,10,0,-516,32,2,10
1993,2,0,-472,4,4,-604,26,1,23
1994,1,0,-325,8,0,-586,24,1,18
1995,0,0,-325,9,0,-462,20,2,18
1996,0,0,-255,7,4,-533,19,1,43
1997,1,0,-433,9,0,-624,22,2,34
1998,0,0,-362,9,0,-539,27,1,23
1999,0,0,-379,8,0,-530,25,6,67
2000,0,0,-377,7,0,-584,19,4,70
2001,0,0,-407,8,0,-583,26,3,2
2002,1,0,-291,8,0,-546,30,1,31
2003,0,0,-348,10,2,-555,26,2,47
2004,1,0,-355,7,1,-529,40,5,23
2005,0,0,-367,9,0,-545,30,6,39
2006,1,0,-391,9,0,-596,32,0,26
2007,2,0,-422,8,0,-569,17,0,109
2008,0,0,-459,9,2,-622,8,4,44
2009,0,0,-342,7,0,-517,22,9,9
2010,0,0,-411,10,0,-551,22,2,6
2011,3,0,-369,10,0,-600,19,6,83
2012,4,0,-293,8,0,-530,23,1,27
2013,2,0,-426,10,0,-588,24,3,1
2014,3,0,-438,7,0,-577,23,3,30
2015,0,0,-308,9,1,-533,27,3,4
2016,1,0,-266,9,0,-494,21,4,14
2016
2017,4,0,-279,10,0,-539,17,4,52
2018,1,0,-304,11,1,-541,16,3,51
2019,5,0,-393,6,6,-573,28,0,69
2020,6,0,-396,10,0,-588,17,0,7
2021,0,0,-458,10,0,-617,39,0,13
2022,0,0,-306,10,0,-494,30,0,134
2023,4,0,-396,8,0,-626,27,0,28
2024,13,0,-367,5,1,-634,18,0,96
2025,2,0,-357,4,0,-580,19,0,142
2026,4,0,-386,8,2,-650,22,0,74
2027,6,0,-471,8,1,-685,32,0,22
2028,3,0,-306,10,3,-564,18,0,31
2029,5,0,-451,8,6,-683,23,1,10
2030,4,0,-349,9,0,-593,22,0,64
2031,3,0,-399,8,1,-596,22,0,91
2032,0,0,-250,11,1,-485,22,0,101
2033,1,0,-370,6,3,-512,25,0,212
2034,8,0,-272,8,3,-506,29,0,53
2035,1,0,-197,10,2,-507,17,0,88
2036,0,0,-333,9,1,-470,36,2,36
2037,1,0,-302,8,2,-560,28,0,56
2038,1,0,-243,8,0,-415,36,0,40
2039,1,0,-496,9,1,-630,16,0,16
2040,2,0,-343,10,0,-593,22,0,18
2041,1,0,-342,10,1,-523,21,1,85
2042,0,0,-380,10,1,-544,23,0,43
2043,0,0,-308,8,1,-478,37,0,49
2044,9,0,-425,7,2,-597,18,1,87
2045,6,0,-224,10,0,-570,30,0,144
2046,2,0,-325,7,2,-554,28,0,75
