year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-58,-390,-415,191
1988,-124,-108,-489,-44
1989,-78,-324,-311,102
1990,-81,-221,-271,75
1991,-13,-437,-430,-12
1992,-145,-175,-203,-95
1993,-82,-321,-380,-85
1994,-197,-402,-413,31
1995,-211,-361,-413,53
1996,-39,-320,-378,48
1997,-30,-288,-301,-21
1998,-68,-309,-448,-10
1999,-92,-271,-309,-85
2000,-106,-288,-387,130
2001,-147,-347,-315,-39
2002,-93,-66,-332,-98
2003,-5,-239,-313,19
2004,-24,-214,-324,-112
2005,-171,-321,-330,45
2006,-42,-421,-274,13
2007,-117,-303,-413,8
2008,-144,-134,-336,28
2009,-131,-357,-343,-98
2010,-53,-324,-383,-92
2011,-36,-345,-440,-40
2012,-139,-332,-407,8
2013,-23,-177,-402,-55
2014,-99,-315,-216,1
2015,-33,-367,-356,-81
2016,-141,-336,-466,15
