year,F1,F3,M4
,label F1,label F3,label M4
1987,87,153,0
1988,92,149,0
1989,118,165,1
1990,114,161,2
1991,115,160,2
1992,102,156,0
1993,100,156,4
1994,93,151,1
1995,115,164,0
1996,96,156,2
1997,106,159,1
1998,91,155,1
1999,108,156,3
2000,97,153,1
2001,94,154,3
2002,83,154,1
2003,87,151,1
2004,102,153,2
2005,82,157,0
2006,96,150,2
2007,107,155,0
2008,115,163,1
2009,9,153,4
2010,100,156,3
2011,92,152,0
2012,105,158,2
2013,95,154,1
2014,105,161,3
2015,93,159,1
2016,95,151,1
2016
2017,44,150,1
2018,86,153,0
2019,86,144,5
2020,70,150,2
2021,49,139,1
2022,73,141,1
2023,81,153,2
2024,84,151,2
2025,53,138,1
2026,74,154,1
2027,74,143,1
2028,80,157,3
2029,95,149,3
2030,78,155,0
2031,104,158,0
2032,100,156,1
2033,104,156,2
2034,46,146,1
2035,86,149,3
2036,76,148,4
2037,85,152,2
2038,85,145,3
2039,87,148,3
2040,57,143,4
2041,67,145,1
2042,104,153,2
2043,84,150,2
2044,89,145,2
2045,104,152,1
2046,61,144,4
