year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-3.5,9.3,13.8,5.4
1988,2.0,11.5,15.0,4.5
1989,5.1,10.6,15.3,5.4
1990,5.0,11.7,15.3,5.0
1991,1.1,9.4,16.3,5.3
1992,3.6,12.1,15.5,4.3
1993,2.0,11.4,13.3,3.6
1994,0.9,10.2,15.9,5.8
1995,1.8,9.7,15.9,3.4
1996,-2.0,9.5,14.3,4.0
1997,1.1,9.6,16.6,4.3
1998,3.0,10.1,13.7,3.0
1999,1.8,10.2,16.0,4.8
2000,2.8,11.2,13.9,6.3
2001,0.5,9.8,15.6,5.9
2002,4.2,12.8,17.6,3.8
2003,1.2,12.0,17.2,6.0
2004,2.1,12.1,16.3,5.9
2005,1.5,11.0,16.3,6.8
2006,-0.4,11.7,18.4,9.2
2007,4.6,12.8,15.8,6.1
2008,4.4,12.1,16.3,6.1
2009,2.3,12.1,16.8,5.4
2010,-1.5,10.8,16.5,2.2
2011,1.4,12.8,16.5,7.5
2012,3.0,11.1,15.8,5.0
2013,-0.1,11.4,16.7,7.6
2014,4.7,12.7,17.5,8.0
2015,4.0,10.7,16.0,8.3
2016,2.8,12.5,17.1,6.4
