year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,31,-103,-42,137
1988,151,-210,25,84
1989,71,-158,-191,81
1990,104,-171,-70,134
1991,63,-83,-176,108
1992,56,-248,-100,85
1993,38,-214,9,109
1994,84,-156,47,89
1995,75,-129,-148,62
1996,-19,-154,-94,136
1997,35,-81,-162,105
1998,56,20,11,168
1999,120,-4,-9,127
2000,74,-65,-76,153
2001,59,-5,-54,84
2002,122,-174,3,101
2003,7,-34,-94,104
2004,50,-144,-83,121
2005,40,-147,-113,92
2006,48,-76,-110,238
2007,124,-130,-1,50
2008,98,-226,-12,113
2009,61,-105,-51,165
2010,51,-174,-40,115
2011,57,-128,19,57
2012,27,-53,-14,106
2013,14,-89,-133,152
2014,76,-140,-103,229
2015,133,28,1,140
2016,40,-101,-59,79
