year,A1,A2,A3
,label A1,label A2,label A3
1987,0,3357,5
1988,5,3410,26
1989,1,3569,17
1990,0,3578,16
1991,0,3368,6
1992,1,3488,15
1993,0,3430,17
1994,1,3279,27
1995,0,3434,7
1996,0,3291,21
1997,0,3474,12
1998,3,3382,30
1999,0,3469,10
2000,2,3242,22
2001,1,3329,15
2002,0,3232,7
2003,3,3179,22
2004,0,3435,14
2005,1,3385,11
2006,0,3300,20
2007,3,3539,46
2008,0,3629,6
2009,2,3383,21
2010,4,3352,32
2011,3,3281,19
2012,2,3509,25
2013,3,3270,38
2014,1,3410,13
2015,4,3458,39
2016,2,3394,20
2016
2017,1,3004,30
2018,3,2956,45
2019,0,3067,21
2020,7,3028,43
2021,2,2737,41
2022,1,2908,18
2023,5,3187,38
2024,2,3000,56
2025,3,2826,45
2026,3,2968,59
2027,3,2959,69
2028,2,3158,27
2029,1,3062,37
2030,12,3010,80
2031,0,3287,6
2032,0,3128,20
2033,2,3174,30
2034,0,2884,12
2035,0,3078,11
2036,7,2975,59
2037,7,3061,53
2038,5,3031,38
2039,6,3046,34
2040,2,2844,31
2041,1,2936,26
2042,1,3284,14
2043,2,3081,42
2044,3,3064,32
2045,4,3073,55
2046,6,2989,50
