year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,spring-field-peas,potatoes
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,,37,19,30,31,,259
2001,,37,14,29,28,,282
2002,42,38,20,35,32,,290
2003,34,34,17,29,28,,263
2004,32,34,13,28,27,17,215
2005,12,35,22,33,30,33,305
2006,31,30,17,33,28,,205
2007,28,33,15,29,31,,285
2008,,27,16,25,23,,196
2009,27,34,15,36,31,,319
2010,33,33,21,32,29,33,291
2011,50,32,18,33,31,28,296
2012,38,33,20,30,28,,257
2013,27,34,19,34,28,,322
2014,52,39,25,33,30,21,318
2015,32,29,22,24,26,22,254
2016,36,33,21,30,29,29,290
2017,29,29,23,36,32,,324
