year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,87,-55,65,41
1988,88,-124,-2,83
1989,112,-103,-32,59
1990,68,-163,-59,119
1991,32,-126,-160,48
1992,86,-37,173,241
1993,179,-55,36,85
1994,67,-49,-45,122
1995,62,-126,-110,99
1996,8,-164,-157,112
1997,66,-121,-68,53
1998,106,-55,-6,125
1999,70,-120,-41,144
2000,111,-30,-81,147
2001,67,-52,-46,87
2002,95,-127,-108,42
2003,95,-144,-91,97
2004,122,-104,83,126
2005,111,-53,30,128
2006,55,-161,-173,233
2007,145,-105,31,183
2008,71,-116,-28,78
2009,49,-145,-55,111
2010,140,-102,-7,63
2011,76,-103,-37,116
2012,92,-28,-38,146
2013,48,-74,-72,197
2014,53,-121,-11,168
2015,101,4,13,154
2016,52,-97,45,81
