year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,102,155,249,68
1988,107,112,208,103
1989,137,141,188,77
1990,99,82,144,139
1991,54,64,40,77
1992,104,178,330,248
1993,194,124,224,94
1994,83,145,154,132
1995,107,111,131,146
1996,46,68,84,140
1997,102,94,170,83
1998,139,161,193,156
1999,97,94,160,169
2000,135,182,123,183
2001,91,172,184,114
2002,123,124,112,64
2003,124,82,136,128
2004,147,106,277,148
2005,137,180,262,158
2006,76,81,84,260
2007,169,124,229,211
2008,96,96,153,108
2009,71,75,169,129
2010,155,121,210,87
2011,103,133,191,144
2012,117,153,160,165
2013,70,169,137,221
2014,88,92,233,190
2015,135,203,208,175
2016,76,127,241,101
