year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-13.9,5.9,10.4,-2.9
1988,-8.5,7.4,13.9,-5.4
1989,-4.1,9.0,13.0,-3.5
1990,-5.8,7.5,12.2,-2.8
1991,-10.8,6.1,12.0,-1.5
1992,-8.3,3.1,9.3,-7.8
1993,-10.1,2.7,8.8,-7.6
1994,-12.4,4.0,9.4,-5.7
1995,-4.3,7.9,12.4,-4.5
1996,-8.0,6.4,13.0,-1.9
1997,-6.8,5.9,14.6,-2.6
1998,-8.3,6.4,13.2,-2.3
1999,-8.2,8.0,13.4,-1.1
2000,-6.4,8.1,13.4,1.5
2001,-8.3,7.8,14.3,-3.8
2002,-6.6,9.3,14.0,-6.9
2003,-8.2,7.0,14.3,-1.3
2004,-7.7,7.5,13.9,-1.2
2005,-7.0,8.0,14.7,0.1
2006,-9.8,8.7,14.6,-0.1
2007,-7.4,7.6,13.2,0.7
2008,-4.5,7.1,11.6,0.9
2009,-6.9,7.1,14.2,-1.8
2010,-11.2,8.0,14.2,-4.4
2011,-9.4,8.6,15.2,2.8
2012,-7.4,6.4,13.5,-2.3
2013,-8.1,9.3,14.4,0.3
2014,-4.2,7.4,15.4,-0.9
2015,-3.2,7.9,13.6,1.3
2016,-6.3,9.1,13.9,-1.3
