year,F1,F3,M4
,label F1,label F3,label M4
1987,134,180,1
1988,139,178,0
1989,144,187,4
1990,143,183,4
1991,141,178,1
1992,142,178,3
1993,126,165,2
1994,145,185,4
1995,147,187,3
1996,124,180,1
1997,137,185,2
1998,131,177,2
1999,133,177,2
2000,142,182,2
2001,125,172,1
2002,132,181,1
2003,136,183,1
2004,132,181,3
2005,133,185,5
2006,122,171,2
2007,132,177,2
2008,128,173,0
2009,133,183,1
2010,148,188,3
2011,131,181,1
2012,146,188,2
2013,136,176,4
2014,137,186,2
2015,135,177,0
2016,140,186,1
2016
2017,126,178,1
2018,126,171,2
2019,134,174,4
2020,128,175,1
2021,127,173,1
2022,127,176,2
2023,132,175,3
2024,119,171,2
2025,123,170,2
2026,132,172,1
2027,136,177,4
2028,127,173,1
2029,125,179,1
2030,127,177,1
2031,133,172,2
2032,127,170,4
2033,139,175,3
2034,133,178,3
2035,134,171,2
2036,100,157,2
2037,136,173,0
2038,130,169,1
2039,123,170,1
2040,123,168,1
2041,112,156,2
2042,133,174,1
2043,122,171,1
2044,123,178,2
2045,110,161,4
2046,121,170,1
