year,A1,A2,A3
,label A1,label A2,label A3
1987,10,4909,75
1988,10,5602,66
1989,5,5545,50
1990,1,5330,26
1991,1,5581,13
1992,5,5144,41
1993,12,4928,120
1994,5,5458,52
1995,10,6058,63
1996,2,5184,23
1997,1,5592,16
1998,5,5395,30
1999,1,5396,17
2000,7,5534,70
2001,3,5339,32
2002,6,5129,44
2003,3,5156,16
2004,3,5499,25
2005,0,5128,4
2006,6,4916,55
2007,0,5341,5
2008,0,5032,7
2009,1,5417,22
2010,2,5735,19
2011,3,5116,31
2012,0,5503,2
2013,11,5205,74
2014,4,5449,40
2015,6,5380,34
2016,7,5410,53
2016
2017,4,4889,29
2018,3,4700,25
2019,3,4777,18
2020,1,5258,19
2021,1,4898,18
2022,1,4775,22
2023,0,4649,8
2024,0,4842,8
2025,5,5068,24
2026,0,5115,21
2027,0,5203,4
2028,2,4777,18
2029,5,4958,39
2030,2,4652,15
2031,3,4929,32
2032,4,4301,34
2033,9,5095,62
2034,0,4975,7
2035,7,5102,41
2036,2,4169,33
2037,9,4735,67
2038,6,4812,44
2039,1,4584,13
2040,1,4255,24
2041,13,4386,76
2042,1,4558,14
2043,0,4583,10
2044,4,5213,38
2045,4,4180,34
2046,1,4732,12

min,,3300
max,,6600
steps,,7
decimal
