year,A1,A2,A3
,label A1,label A2,label A3
1987,48,2862,350
1988,23,2821,204
1989,40,2817,289
1990,36,2567,250
1991,30,2960,291
1992,20,2433,144
1993,28,2775,262
1994,62,2783,447
1995,41,2871,271
1996,49,2534,417
1997,47,2575,352
1998,77,3067,496
1999,41,2853,340
2000,51,2977,377
2001,47,2884,287
2002,33,2996,249
2003,60,2764,405
2004,54,2914,394
2005,60,2988,466
2006,46,3460,330
2007,26,3163,199
2008,78,3029,496
2009,61,3017,433
2010,63,2972,419
2011,32,2888,289
2012,26,2837,242
2013,35,3059,296
2014,30,2893,227
2015,24,2828,190
2016,45,3213,317
2016
2017,43,2756,348
2018,63,2626,397
2019,49,2688,362
2020,59,2873,389
2021,56,2636,392
2022,45,2690,369
2023,37,2694,296
2024,56,2366,451
2025,73,2711,484
2026,49,2504,365
2027,32,2513,298
2028,63,2718,446
2029,84,2563,645
2030,33,2677,287
2031,56,2871,355
2032,42,2670,351
2033,38,2529,300
2034,76,2572,530
2035,55,2674,344
2036,45,2682,337
2037,82,2793,590
2038,52,2674,352
2039,29,2708,224
2040,75,2579,457
2041,46,2346,341
2042,61,2635,463
2043,56,2576,337
2044,52,2967,381
2045,17,2548,145
2046,67,2771,465

min,,2000
max,,4000
steps,,9
decimal
