year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,167,210,83,117
1988,148,104,217,84
1989,78,277,172,61
1990,49,121,126,124
1991,70,177,163,171
1992,41,107,77,158
1993,64,152,101,185
1994,92,187,108,66
1995,114,183,115,119
1996,48,160,255,101
1997,18,167,144,87
1998,37,231,214,137
1999,107,209,172,172
2000,47,104,145,85
2001,147,150,219,48
2002,29,64,241,85
2003,97,83,183,163
2004,141,167,222,107
2005,62,196,361,112
2006,127,264,143,24
2007,126,109,138,125
2008,70,135,210,128
2009,116,113,98,209
2010,126,317,323,156
2011,53,114,109,89
2012,32,164,81,105
2013,221,278,51,87
2014,73,207,266,86
2015,71,105,199,156
2016,185,137,174,101
