year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,100,-112,-270,46
1988,69,-221,-122,15
1989,-6,-40,-149,-13
1990,-56,-217,-238,51
1991,-8,-134,-177,100
1992,-56,-264,-324,83
1993,-22,-240,-273,105
1994,-15,-167,-294,-21
1995,13,-142,-255,41
1996,-23,-207,-57,17
1997,-79,-185,-205,-1
1998,-83,-103,-135,67
1999,13,-130,-187,97
2000,-34,-273,-197,21
2001,70,-183,-114,-21
2002,-72,-306,-125,20
2003,25,-315,-183,98
2004,61,-171,-118,42
2005,-13,-144,41,47
2006,60,-56,-205,-54
2007,14,-293,-246,50
2008,-32,-218,-135,58
2009,40,-272,-288,139
2010,45,13,10,91
2011,-24,-252,-247,19
2012,-74,-198,-318,39
2013,148,-52,-331,0
2014,-38,-142,-63,12
2015,-31,-267,-195,87
2016,88,-222,-182,32
