year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,169,128,112,374
1988,183,163,96,115
1989,85,167,34,144
1990,64,157,73,185
1991,155,96,115,169
1992,73,212,130,188
1993,38,194,206,432
1994,224,218,321,614
1995,124,177,263,807
1996,872,237,216,661
1997,204,171,150,705
1998,167,386,187,219
1999,206,364,244,369
2000,87,337,270,495
2001,371,253,264,290
2002,183,275,246,562
2003,148,198,264,771
2004,340,247,198,373
2005,63,192,239,441
2006,329,89,263,416
2007,143,257,105,162
2008,301,441,101,629
2009,237,290,74,338
2010,553,248,101,618
2011,303,112,151,519
2012,31,359,173,407
2013,427,398,245,323
2014,340,222,417,650
2015,146,217,285,386
2016,315,425,226,646
2017,430,227,53,295
2018,564,546,99,767
2019,107,308,127,762
2020,149,341,247,452
