year,annual-estival-days
1987,64
1988,53
1989,73
1990,61
1991,75
1992,44
1993,48
1994,77
1995,60
1996,50
1997,65
1998,70
1999,74
2000,63
2001,69
2002,58
2003,96
2004,71
2005,76
2006,75
2007,63
2008,58
2009,91
2010,70
2011,92
2012,81
2013,69
2014,57
2015,77
2016,77
2017,82
2018,92
2019,87
2020,86

min,30
max,120
steps,10
decimal
