year,A1,A2,A3
,label A1,label A2,label A3
1987,25,1938,172
1988,19,1876,158
1989,56,2074,305
1990,34,2181,204
1991,19,2162,177
1992,30,1966,198
1993,19,1878,161
1994,26,2025,218
1995,20,2020,146
1996,8,2183,132
1997,28,2063,215
1998,28,1846,188
1999,32,2199,231
2000,21,2093,215
2001,39,1968,220
2002,23,2143,136
2003,41,2215,240
2004,46,2054,275
2005,26,1795,183
2006,34,1908,224
2007,28,2111,193
2008,27,2435,184
2009,34,2074,208
2010,34,2088,257
2011,47,2053,316
2012,32,2175,198
2013,18,2009,133
2014,34,1932,234
2015,30,1829,209
2016,35,1947,222
2016
2017,41,1938,242
2018,55,1719,313
2019,39,1696,243
2020,38,1726,257
2021,30,1829,241
2022,55,1824,348
2023,36,1775,288
2024,19,1666,190
2025,37,1716,241
2026,49,1829,340
2027,35,1615,260
2028,47,1663,307
2029,62,1783,447
2030,72,1853,484
2031,63,1813,388
2032,63,1969,394
2033,55,1839,330
2034,49,1782,324
2035,70,1751,437
2036,66,1740,429
2037,56,1917,312
2038,63,1879,349
2039,65,1870,367
2040,39,1709,249
2041,46,2071,283
2042,57,1835,373
2043,42,1796,304
2044,56,1808,374
2045,30,1672,218
2046,66,1776,381

min,,1300
max,,2650
steps,,10
decimal



