year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,102,119,207,317
1988,358,181,67,98
1989,135,171,79,139
1990,120,157,48,289
1991,200,158,181,204
1992,121,285,415,471
1993,30,208,197,343
1994,233,161,290,323
1995,258,59,142,185
1996,140,113,124,261
1997,119,215,84,254
1998,176,366,134,238
1999,177,199,354,274
2000,118,130,205,614
2001,413,155,233,157
2002,129,116,199,365
2003,138,111,67,304
2004,146,104,126,178
2005,99,114,69,231
2006,251,59,210,295
2007,249,141,123,158
2008,204,211,148,290
2009,129,164,80,261
2010,163,105,81,340
2011,121,69,168,226
2012,47,218,128,382
2013,288,210,108,258
2014,290,121,179,262
2015,169,136,137,80
2016,290,134,64,105
