year,F1,F3,M4
,label F1,label F3,label M4
1987,24,116,2
1988,22,107,1
1989,29,116,5
1990,49,107,4
1991,30,118,2
1992,28,116,3
1993,40,115,3
1994,32,117,2
1995,23,116,3
1996,24,116,3
1997,34,113,1
1998,18,117,3
1999,44,113,5
2000,41,106,2
2001,27,118,2
2002,36,115,1
2003,30,128,2
2004,29,116,3
2005,42,106,1
2006,26,110,4
2007,34,114,2
2008,43,126,2
2009,33,115,6
2010,38,113,3
2011,30,117,4
2012,36,113,3
2013,36,113,3
2014,37,109,3
2015,29,110,1
2016,22,116,4
2016
2017,30,102,6
2018,18,117,4
2019,25,105,5
2020,20,112,3
2021,29,114,3
2022,33,113,8
2023,27,112,4
2024,22,104,4
2025,29,104,7
2026,31,107,4
2027,26,109,5
2028,27,105,5
2029,19,114,7
2030,27,108,5
2031,32,99,4
2032,26,114,7
2033,44,111,5
2034,35,108,6
2035,28,111,3
2036,26,108,3
2037,36,109,5
2038,36,113,5
2039,21,111,5
2040,32,109,6
2041,36,110,4
2042,25,102,5
2043,34,110,6
2044,28,112,4
2045,28,109,4
2046,23,103,3

min,,70
max,,140
steps,,11
decimal
