year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,18,-167,-121,237
1988,241,-96,-239,2
1989,26,-186,-296,22
1990,11,-150,-330,203
1991,107,-126,-175,124
1992,11,-61,81,390
1993,-98,-75,-151,246
1994,127,-168,-38,222
1995,147,-262,-225,70
1996,22,-222,-250,165
1997,10,-132,-279,133
1998,48,53,-211,145
1999,62,-101,-2,173
2000,10,-167,-133,509
2001,312,-161,-100,50
2002,9,-198,-132,259
2003,4,-237,-326,209
2004,30,-235,-212,78
2005,-15,-235,-312,114
2006,150,-289,-164,179
2007,137,-178,-217,50
2008,86,-98,-189,197
2009,1,-168,-291,151
2010,48,-230,-282,237
2011,6,-308,-170,108
2012,-80,-101,-251,280
2013,178,-73,-290,154
2014,166,-226,-171,152
2015,67,-204,-230,-29
2016,174,-154,-322,-4
