year,annual-estival-days
1987,44
1988,37
1989,84
1990,67
1991,66
1992,57
1993,43
1994,47
1995,57
1996,41
1997,66
1998,43
1999,54
2000,42
2001,39
2002,31
2003,75
2004,47
2005,52
2006,59
2007,31
2008,28
2009,60
2010,50
2011,46
2012,39
2013,64
2014,55
2015,56
2016,50

min,0
max,100
steps,11
decimal
