year,annual-estival-days
1987,2
1988,3
1989,14
1990,5
1991,10
1992,13
1993,3
1994,21
1995,24
1996,13
1997,27
1998,1
1999,15
2000,6
2001,8
2002,11
2003,10
2004,7
2005,11
2006,30
2007,11
2008,15
2009,8
2010,12
2011,2
2012,5
2013,7
2014,22
2015,5
2016,17
