year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,4,3,-42,4,1,-147,79,18,119
1988,10,1,4,4,0,-57,78,17,215
1989,2,0,-46,2,0,-57,87,22,185
1990,0,7,-101,7,0,-146,80,21,143
1991,0,7,1,1,0,-134,87,23,147
1992,0,1,-36,2,0,-19,81,32,152
1993,0,2,-35,2,0,-138,85,31,158
1994,1,12,-61,3,0,-166,77,25,123
1995,1,12,111,4,0,63,84,20,139
1996,3,7,-90,6,0,-244,75,31,128
1997,7,2,-140,6,0,-266,72,28,159
1998,3,4,-7,1,0,-8,78,22,151
1999,5,7,-134,2,0,-234,76,20,149
2000,0,3,-75,2,0,-109,89,27,145
2001,2,1,-65,6,0,-137,77,26,119
2002,1,9,-29,3,0,-66,73,37,147
2003,3,2,12,2,0,-85,80,33,144
2004,1,2,17,2,0,-89,87,33,125
2005,0,7,63,3,0,9,85,11,160
2006,1,0,-10,3,0,-83,87,21,188
2007,2,11,-80,4,0,-182,82,18,124
2008,2,2,13,2,0,-35,77,30,166
2009,5,6,-3,2,0,-84,84,31,136
2010,0,3,-38,3,0,-132,86,34,98
2011,1,8,-43,4,0,-123,84,31,89
2012,0,6,-31,2,0,-61,88,24,111
2013,1,8,-14,1,0,-105,82,34,65
2014,4,1,-2,1,0,-5,80,24,143
2015,1,5,-67,3,0,-57,79,25,187
2016,2,1,-6,1,0,-54,82,20,153
2016
2017,4,8,-53,3,0,-126,72,24,130
2018,4,0,-92,6,0,-158,71,24,90
2019,12,5,-30,1,0,-23,63,20,117
2020,4,1,-24,4,0,-132,73,13,97
2021,1,7,-133,3,0,-154,66,18,161
2022,9,11,-37,2,2,-96,70,13,133
2023,2,11,-32,3,1,-124,82,9,124
2024,2,12,-106,4,0,-199,75,15,166
2025,1,3,-36,3,0,-65,76,12,136
2026,3,8,-184,4,0,-342,73,19,107
2027,4,4,-150,5,0,-266,71,16,177
2028,2,5,9,2,0,-69,76,20,105
2029,7,0,-138,2,0,-215,65,15,117
2030,5,10,-66,3,0,-207,77,9,151
2031,5,2,-24,2,0,-47,68,23,115
2032,4,5,-131,2,0,-210,55,21,155
2033,3,13,13,1,0,-94,87,21,126
2034,1,4,-115,3,0,-198,73,13,129
2035,5,8,31,3,0,-17,78,13,158
2036,3,4,-45,2,0,-143,75,27,124
2037,9,5,-61,3,0,-149,76,28,99
2038,5,3,-25,2,0,-108,66,11,144
2039,6,8,-46,4,0,-98,64,16,185
2040,1,3,48,1,0,77,80,20,135
2041,1,10,-34,0,0,-34,79,16,203
2042,3,9,-86,3,0,-77,80,21,188
2043,4,6,-27,5,0,-122,80,16,125
2044,3,6,-102,4,0,-187,76,18,97
2045,1,7,-149,5,1,-181,76,16,137
2046,7,6,-12,4,0,-99,73,21,106
