year,F1,F3,M4
,label F1,label F3,label M4
1987,79,150,2
1988,79,151,0
1989,94,153,0
1990,95,159,1
1991,89,156,0
1992,88,153,1
1993,84,149,0
1994,101,153,1
1995,88,157,1
1996,106,158,2
1997,82,146,1
1998,88,155,0
1999,82,158,0
2000,85,148,1
2001,70,144,4
2002,100,159,2
2003,76,147,1
2004,88,154,0
2005,95,154,0
2006,65,142,1
2007,94,155,1
2008,81,153,0
2009,86,153,0
2010,90,157,1
2011,66,157,3
2012,82,150,0
2013,83,150,0
2014,75,148,1
2015,86,154,0
2016,94,154,0
2016
2017,80,145,1
2018,69,141,1
2019,67,149,1
2020,60,139,3
2021,46,142,2
2022,97,156,1
2023,85,156,1
2024,86,155,1
2025,61,135,1
2026,86,149,2
2027,78,145,1
2028,71,147,1
2029,73,141,2
2030,81,142,3
2031,76,153,0
2032,69,138,0
2033,84,162,0
2034,69,145,2
2035,88,155,0
2036,79,144,3
2037,80,144,1
2038,51,143,0
2039,9,151,2
2040,76,142,0
2041,87,152,0
2042,74,159,0
2043,93,151,2
2044,77,154,3
2045,80,147,2
2046,61,142,3
