year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,98,204,251,238
1988,360,94,412,218
1989,167,156,198,186
1990,241,169,377,220
1991,173,187,224,235
1992,167,77,145,282
1993,190,81,352,268
1994,256,153,261,263
1995,281,156,177,100
1996,65,87,180,256
1997,135,140,171,211
1998,143,141,182,253
1999,183,125,302,287
2000,207,152,179,268
2001,129,123,327,196
2002,261,224,231,249
2003,72,231,129,200
2004,188,163,371,221
2005,132,180,220,175
2006,93,128,235,287
2007,248,205,318,154
2008,228,66,343,261
2009,122,161,281,341
2010,104,146,383,217
2011,88,140,452,205
2012,132,248,355,281
2013,93,171,195,321
2014,163,205,320,306
2015,225,184,253,304
2016,139,216,182,208
