year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1115,11,-148,9
1988,889,9,-39,4
1989,997,10,-59,9
1990,861,10,-148,7
1991,951,12,-163,8
1992,825,10,-20,4
1993,805,10,-193,2
1994,1020,10,-220,2
1995,874,11,66,5
1996,997,11,-311,11
1997,1072,11,-289,8
1998,944,10,13,5
1999,806,9,-271,12
2000,987,12,-169,4
2001,1009,9,-160,1
2002,984,11,-109,7
2003,992,11,-74,1
2004,870,10,-112,3
2005,1059,11,-2,5
2006,958,11,-35,1
2007,970,10,-186,2
2008,1033,13,-43,12
2009,950,10,-113,13
2010,970,12,-123,8
2011,929,10,-138,6
2012,832,10,-81,3
2013,990,10,-154,9
2014,952,11,-26,2
2015,850,9,-16,7
2016,1011,10,-58,12
2016
2017,1135,11,-132,3
2018,1095,11,-151,5
2019,1148,11,-22,4
2020,1210,12,-119,0
2021,1018,11,-199,6
2022,1076,11,-67,4
2023,1022,11,-137,2
2024,1026,12,-234,9
2025,1040,12,-42,0
2026,1050,10,-412,1
2027,1159,12,-277,0
2028,1084,11,-21,5
2029,1125,11,-258,3
2030,1147,13,-166,1
2031,1030,11,-59,7
2032,1211,11,-179,2
2033,936,12,-110,11
2034,1098,10,-150,0
2035,976,10,-36,2
2036,1067,11,-137,0
2037,1218,11,-212,1
2038,1090,10,-49,3
2039,1103,12,-70,2
2040,987,12,66,4
2041,976,11,17,1
2042,869,11,-23,10
2043,963,10,-136,1
2044,1066,11,-199,8
2045,1039,12,-202,5
2046,1043,11,-114,1
