year,annual-precipitations
1987,682
1988,623
1989,578
1990,842
1991,777
1992,793
1993,793
1994,837
1995,688
1996,545
1997,741
1998,674
1999,714
2000,671
2001,840
2002,739
2003,605
2004,662
2005,742
2006,526
2007,681
2008,601
2009,589
2010,741
2011,605
2012,683
2013,621
2014,663
2015,476
2016,753
