year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,67,172,290,153
1988,80,137,241,166
1989,80,170,146,181
1990,239,113,323,168
1991,129,232,263,153
1992,146,134,254,259
1993,150,98,446,100
1994,111,373,155,198
1995,156,214,191,127
1996,95,131,116,202
1997,89,206,155,291
1998,121,126,272,155
1999,188,108,196,222
2000,143,91,291,145
2001,104,194,318,224
2002,156,240,151,193
2003,41,139,188,238
2004,131,122,209,200
2005,91,261,241,149
2006,52,140,174,160
2007,93,144,247,197
2008,124,76,211,191
2009,102,99,180,208
2010,71,153,377,139
2011,73,122,269,141
2012,105,190,192,196
2013,52,135,309,125
2014,93,184,243,144
2015,117,135,141,83
2016,115,169,272,197
