year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,142,68,83,165
1988,86,228,9,117
1989,40,141,48,220
1990,55,52,56,88
1991,122,47,26,97
1992,19,146,62,109
1993,55,147,12,205
1994,45,123,14,68
1995,41,113,50,163
1996,135,98,44,195
1997,85,105,100,238
1998,85,110,138,45
1999,37,75,50,98
2000,64,144,23,185
2001,141,36,40,80
2002,107,96,34,180
2003,120,53,35,223
2004,120,116,42,123
2005,32,53,10,195
2006,105,81,45,180
2007,30,193,21,123
2008,53,215,51,130
2009,66,24,12,155
2010,227,190,82,174
2011,113,144,2,82
2012,33,78,79,99
2013,139,82,28,109
2014,121,74,32,154
2015,58,83,53,55
2016,110,147,19,184
