year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,6.6,16.6,23.7,9.9
1988,7.9,14.8,22.8,9.6
1989,7.7,15.9,23.6,11.8
1990,8.2,15.4,22.7,8.9
1991,7.1,15.2,23.6,9.5
1992,6.8,16.0,23.2,10.1
1993,7.4,16.2,22.8,9.1
1994,8.0,16.2,23.0,10.7
1995,8.5,17.7,22.5,11.9
1996,8.0,17.2,22.3,10.9
1997,10.0,17.3,23.5,11.4
1998,9.7,16.2,24.3,9.8
1999,7.9,17.8,24.0,9.7
2000,8.6,16.8,23.0,10.3
2001,8.8,17.3,23.1,9.2
2002,8.6,17.2,22.6,10.9
2003,7.6,18.5,24.4,10.1
2004,7.6,16.3,23.4,10.1
2005,6.4,18.5,23.4,9.6
2006,7.1,18.5,23.9,11.6
2007,8.3,16.3,23.1,9.8
2008,9.0,16.7,23.2,9.3
2009,7.6,17.5,24.0,11.3
2010,6.2,15.9,23.6,9.1
2011,7.5,18.3,22.9,10.9
2012,6.6,16.8,22.9,9.8
2013,6.1,14.8,23.9,9.6
2014,7.8,17.8,23.1,11.5
2015,7.0,18.6,24.1,11.3
2016,8.2,16.8,25.3,11.4
