year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,257,76,71,525
1988,185,137,89,165
1989,45,114,185,118
1990,74,140,151,170
1991,113,112,98,192
1992,85,167,123,114
1993,60,145,187,303
1994,144,60,288,160
1995,35,73,93,298
1996,372,114,157,312
1997,113,168,76,261
1998,52,214,80,92
1999,79,184,178,231
2000,21,156,144,276
2001,220,46,154,74
2002,176,225,140,351
2003,104,123,310,333
2004,134,131,130,155
2005,39,79,211,162
2006,136,7,128,161
2007,64,191,31,60
2008,71,96,22,255
2009,151,144,13,117
2010,194,87,42,184
2011,142,57,71,189
2012,47,105,127,113
2013,335,142,67,175
2014,118,91,434,374
2015,87,124,194,135
2016,136,215,83,327
