year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.8,15.9,22.8,11.4
1988,8.8,16.6,21.9,11.2
1989,9.2,17.0,23.2,11.5
1990,10.0,17.0,23.0,10.7
1991,8.1,15.9,23.9,10.1
1992,8.1,16.7,21.9,11.6
1993,7.9,17.1,21.3,10.7
1994,9.5,16.9,23.1,12.3
1995,8.8,16.9,22.6,12.0
1996,8.3,17.3,21.1,11.1
1997,10.0,17.0,22.6,12.1
1998,8.9,17.1,22.7,9.9
1999,8.7,17.5,22.9,10.6
2000,9.2,17.7,22.2,12.0
2001,10.2,17.7,22.2,11.2
2002,10.0,17.5,21.6,12.8
2003,7.9,18.7,24.2,11.6
2004,8.2,17.2,22.5,11.9
2005,7.4,18.0,22.7,10.7
2006,7.7,18.4,23.6,13.3
2007,10.2,18.5,21.8,11.1
2008,9.8,17.4,22.0,11.0
2009,8.5,18.5,23.7,12.4
2010,7.0,17.3,22.9,10.6
2011,9.0,18.7,22.8,13.6
2012,8.8,17.8,23.1,12.4
2013,7.4,15.5,22.4,11.2
2014,9.2,17.6,21.8,12.8
2015,8.3,18.0,22.4,11.9
2016,9.0,16.6,22.7,10.9
