year,winter-soft-wheat,winter-barley,rye,triticale,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,maize-silage,temporary-grasslands,permanent-grasslands,vineyards,apple
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha
2000,60,58,48,60,88,65,30,25,33,48,145,63,45,74,330
2001,50,40,35,48,91,60,25,30,35,35,150,72,52,67,210
2002,55,60,45,55,90,,30,18,28,32,150,67,48,66,350
2003,50,50,40,50,57,25,20,15,15,40,75,44,34,58,150
2004,65,60,50,60,90,40,20,20,18,45,150,69,53,75,350
2005,62,58,50,60,96,55,30,22,25,30,140,58,45,68,320
2006,62,60,50,55,96,55,28,25,30,30,140,62,46,64,225
2007,55,55,50,55,105,55,25,28,30,30,150,77,60,58,300
2008,58,57,50,55,105,58,25,27,30,30,140,71,55,54,340
2009,57,55,41,55,77,55,28,23,25,45,125,51,38,61,310
2010,60,58,50,55,87,55,30,23,35,30,125,62,51,59,350
2011,55,50,40,55,112,65,38,29,35,32,135,70,56,65,380
2012,65,60,50,60,92,62,32,20,30,30,125,61,45,56,320
2013,65,58,55,65,94,58,35,16,33,30,115,64,50,54,320
2014,60,57,50,58,100,59,33,15,33,30,115,64,57,56,360
2015,60,58,50,58,75,48,33,18,35,25,70,58,47,59,350
2016,60,57,49,52,103,58,35,28,35,25,90,57,46,64,330
2017,64,56,50,50,97,65,30,27,38,,85,68,50,53,290
