year,F1,F3,M4
,label F1,label F3,label M4
1987,118,170,0
1988,132,180,0
1989,123,180,0
1990,128,186,1
1991,123,177,1
1992,123,180,1
1993,113,167,2
1994,113,169,1
1995,116,177,2
1996,127,182,1
1997,129,184,0
1998,112,168,1
1999,97,172,3
2000,99,162,1
2001,131,174,2
2002,104,168,1
2003,121,162,1
2004,119,160,0
2005,121,172,2
2006,108,176,2
2007,121,176,2
2008,120,170,1
2009,112,171,0
2010,106,168,2
2011,117,168,1
2012,110,158,2
2013,126,180,3
2014,118,179,2
2015,115,169,1
2016,103,167,0
2016
2017,116,169,1
2018,91,152,2
2019,111,164,2
2020,113,162,1
2021,95,155,3
2022,101,163,2
2023,118,166,2
2024,105,155,2
2025,107,153,1
2026,88,162,2
2027,122,168,1
2028,82,161,4
2029,110,160,2
2030,90,161,0
2031,108,157,2
2032,102,160,2
2033,106,159,0
2034,127,168,0
2035,93,154,1
2036,101,157,0
2037,92,161,1
2038,109,151,2
2039,108,151,2
2040,108,158,3
2041,93,159,2
2042,83,154,1
2043,119,163,2
2044,104,157,3
2045,127,167,1
2046,103,149,2

min,,120
max,,190
steps,,11
decimal
