year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,57,49,-37,214
1988,185,97,-95,262
1989,23,-96,-193,73
1990,18,-120,-258,136
1991,84,-118,-166,189
1992,-28,-169,-188,123
1993,-34,-141,-143,50
1994,10,-132,-160,83
1995,211,-153,-175,23
1996,-30,-242,-142,154
1997,-23,-185,-162,44
1998,0,-120,-68,216
1999,139,143,119,213
2000,51,-182,2,267
2001,371,15,-50,62
2002,87,-84,-59,413
2003,9,-228,-166,172
2004,123,-192,-39,231
2005,19,-197,-179,-29
2006,61,-210,-252,-54
2007,-39,-223,-271,-19
2008,-30,-150,-238,241
2009,72,-240,-253,102
2010,-7,-114,-285,85
2011,-18,-234,-129,107
2012,-53,-188,-190,180
2013,265,182,-122,422
2014,350,-43,170,344
2015,323,-82,-126,135
2016,237,-111,-219,101
