year,A1,A2,A3
,label A1,label A2,label A3
1987,21,2959,153
1988,35,2969,250
1989,18,3029,143
1990,25,2766,175
1991,13,2743,106
1992,30,2849,187
1993,11,2918,106
1994,13,3210,113
1995,13,2804,108
1996,5,2693,98
1997,24,2738,182
1998,12,2872,102
1999,3,3094,80
2000,14,3259,143
2001,12,2762,106
2002,26,3108,162
2003,3,3094,41
2004,7,3078,73
2005,11,3019,103
2006,24,2826,179
2007,25,2776,182
2008,20,3122,119
2009,13,2545,122
2010,1,2801,53
2011,5,2871,66
2012,31,2567,220
2013,16,2788,105
2014,8,2731,89
2015,21,2784,144
2016,15,2956,122
2016
2017,20,2594,144
2018,46,2474,298
2019,16,2495,145
2020,33,2514,216
2021,25,2941,209
2022,34,2918,219
2023,27,2901,234
2024,30,2558,242
2025,38,2551,235
2026,22,2293,195
2027,39,2627,272
2028,40,2721,226
2029,34,2496,256
2030,27,2578,197
2031,23,2886,155
2032,31,2555,222
2033,14,2654,117
2034,48,2307,321
2035,35,2631,254
2036,32,2645,241
2037,29,2584,221
2038,32,2742,216
2039,23,2718,175
2040,17,2586,137
2041,31,2800,234
2042,30,2630,220
2043,15,2368,154
2044,17,2568,129
2045,43,2641,281
2046,11,2723,88

min,,2000
max,,4000
steps,,9
decimal
