year,annual-average-temperature
1987,8.9
1988,10.4
1989,10.6
1990,11.0
1991,10.0
1992,10.7
1993,10.2
1994,11.4
1995,10.5
1996,9.0
1997,10.5
1998,10.6
1999,11.1
2000,11.4
2001,10.8
2002,11.2
2003,11.5
2004,10.6
2005,11.1
2006,11.2
2007,11.5
2008,11.0
2009,10.9
2010,9.7
2011,11.5
2012,10.9
2013,10.5
2014,12.0
2015,11.6
2016,11.0

min,6
max,14
steps,9
decimal
