year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,18,12,-40,2,15,-171,57,40,93
1988,36,25,-89,6,18,-272,47,23,71
1989,15,22,-133,3,16,-295,53,39,128
1990,21,14,-125,5,14,-208,47,36,210
1991,21,17,-131,2,5,-251,54,16,140
1992,14,34,-100,2,12,-246,42,37,73
1993,1,16,-160,2,9,-264,64,21,129
1994,3,35,-156,7,16,-292,56,35,174
1995,6,11,-115,3,9,-255,55,17,96
1996,11,8,-124,2,8,-250,57,34,90
1997,17,17,-100,2,19,-271,58,13,86
1998,25,14,-160,3,0,-269,45,28,55
1999,14,9,-213,6,2,-436,42,48,96
2000,9,26,-88,3,15,-192,63,38,107
2001,14,9,-162,6,10,-357,70,30,62
2002,10,27,-93,4,21,-236,51,41,114
2003,11,27,-95,4,2,-175,48,34,152
2004,11,29,-152,5,0,-220,47,39,157
2005,8,18,-60,2,9,-210,55,38,60
2006,17,13,-135,4,20,-270,31,35,130
2007,18,15,-71,4,23,-191,47,18,119
2008,15,34,-89,1,7,-147,54,31,163
2009,12,10,-173,2,7,-283,30,28,108
2010,11,13,-115,3,1,-212,54,29,80
2011,7,21,-135,4,2,-247,53,35,163
2012,29,13,-188,4,13,-159,35,20,238
2013,4,16,0,2,10,-129,65,16,93
2014,13,19,-103,2,6,-229,42,23,119
2015,10,8,-61,3,13,-185,63,31,123
2016,13,9,-92,4,8,-219,56,30,127
2016
2017,23,5,-185,6,10,-337,52,16,89
2018,23,9,-110,2,21,-229,32,13,126
2019,21,4,-87,4,11,-227,57,10,122
2020,21,7,-154,5,16,-337,52,19,141
2021,21,21,-165,3,15,-298,53,13,160
2022,14,24,-32,1,21,-162,68,23,87
2023,21,28,-128,5,12,-288,57,24,124
2024,28,13,-123,2,8,-304,45,11,107
2025,21,15,-16,6,16,-223,50,18,110
2026,34,6,-147,1,6,-209,48,9,214
2027,29,9,-154,0,21,-297,48,24,174
2028,19,32,-75,3,27,-190,50,18,156
2029,25,7,-146,3,14,-275,41,13,123
2030,20,11,-147,3,9,-258,47,14,138
2031,16,15,-74,1,14,-114,57,37,185
2032,18,16,-107,2,21,-245,56,8,104
2033,4,3,-74,2,12,-165,58,31,166
2034,26,6,-136,4,28,-348,30,20,105
2035,20,2,-64,5,18,-236,49,22,82
2036,28,6,-110,2,13,-283,40,23,63
2037,22,17,-148,2,15,-307,42,15,67
2038,25,13,-131,3,15,-205,35,26,205
2039,19,25,-74,4,12,-201,45,6,123
2040,12,14,-66,2,13,-248,57,24,93
2041,30,22,-42,2,14,-184,45,22,111
2042,15,14,-129,3,22,-256,45,26,164
2043,19,2,-53,3,0,-209,42,6,125
2044,10,16,-128,4,15,-234,61,10,146
2045,25,19,-32,3,19,-184,50,25,142
2046,14,6,-71,5,9,-218,66,21,109

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
