year,annual-estival-days
1987,28
1988,40
1989,57
1990,43
1991,43
1992,55
1993,47
1994,52
1995,56
1996,34
1997,50
1998,37
1999,53
2000,45
2001,51
2002,42
2003,92
2004,49
2005,56
2006,61
2007,44
2008,51
2009,45
2010,41
2011,62
2012,55
2013,51
2014,43
2015,61
2016,56

min,16
max,130
steps,9
decimal
