year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-0.4,12.3,17.4,6.1
1988,4.1,13.8,17.3,6.4
1989,4.9,13.4,18.0,6.0
1990,6.5,13.6,17.2,6.6
1991,3.4,11.6,19.2,5.6
1992,3.9,14.4,18.7,5.7
1993,2.9,15.4,17.0,5.1
1994,4.4,14.0,19.2,7.7
1995,4.2,13.3,18.8,5.7
1996,1.1,13.3,16.3,5.1
1997,3.8,13.1,18.7,6.1
1998,5.2,14.6,17.4,5.2
1999,4.3,14.5,19.5,6.0
2000,5.1,15.4,17.4,7.5
2001,4.5,13.8,18.1,6.6
2002,4.9,14.7,18.0,7.2
2003,3.4,16.1,20.2,6.1
2004,3.9,14.0,18.6,6.1
2005,3.5,15.0,18.8,6.9
2006,1.5,14.3,19.8,8.8
2007,6.5,16.3,17.0,6.1
2008,5.3,15.0,17.5,6.3
2009,2.3,15.4,19.0,6.9
2010,2.2,13.7,18.0,4.9
2011,4.4,16.0,18.1,7.2
2012,4.0,14.4,18.3,6.6
2013,1.9,13.5,18.9,7.5
2014,6.3,15.1,18.3,8.2
2015,4.1,14.2,19.4,8.4
2016,4.4,14.0,19.7,5.9
