year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,59,137,0
1988,74,138,1
1989,65,136,0
1990,58,127,0
1991,77,136,0
1992,75,125,1
1993,59,133,0
1994,80,140,2
1995,68,139,1
1996,49,125,0
1997,44,134,0
1998,71,135,0
1999,60,142,2
2000,73,144,0
2001,35,138,2
2002,83,136,0
2003,77,138,1
2004,76,125,0
2005,59,129,0
2006,68,129,1
2007,70,124,0
2008,91,143,0
2009,31,121,0
2010,45,133,0
2011,66,126,1
2012,50,117,0
2013,63,141,0
2014,76,131,0
2015,45,127,0
2016,67,138,1
2016
2017,65,130,0
2018,42,129,0
2019,42,127,0
2020,55,132,0
2021,71,148,0
2022,84,142,0
2023,53,146,1
2024,72,133,0
2025,28,131,0
2026,40,125,0
2027,59,131,0
2028,35,137,0
2029,39,127,0
2030,47,130,1
2031,57,143,0
2032,67,134,1
2033,29,135,0
2034,50,116,1
2035,37,128,0
2036,35,137,1
2037,70,119,0
2038,47,134,0
2039,87,140,0
2040,49,136,1
2041,88,140,0
2042,62,134,0
2043,28,128,1
2044,73,125,0
2045,49,131,0
2046,52,132,1

min,,90,0
max,,190,6
steps,,11,7
decimal
