year,F1,F3,M4
,label F1,label F3,label M4
1987,84,140,1
1988,89,149,0
1989,70,128,0
1990,80,144,2
1991,68,143,2
1992,67,126,2
1993,71,141,2
1994,61,139,1
1995,84,140,3
1996,70,131,0
1997,78,147,0
1998,48,146,0
1999,64,132,1
2000,79,138,4
2001,62,136,1
2002,56,136,0
2003,71,130,1
2004,59,125,3
2005,86,146,0
2006,60,130,0
2007,72,142,0
2008,45,141,0
2009,87,141,2
2010,66,135,1
2011,70,142,1
2012,59,124,1
2013,62,129,2
2014,65,135,0
2015,59,137,0
2016,66,139,1
2016
2017,74,146,1
2018,63,140,2
2019,44,129,1
2020,33,132,2
2021,60,143,2
2022,49,124,1
2023,23,139,1
2024,52,139,0
2025,70,136,1
2026,68,137,1
2027,28,140,1
2028,48,127,2
2029,54,143,3
2030,28,146,3
2031,49,141,1
2032,71,136,2
2033,77,144,1
2034,72,133,1
2035,90,151,0
2036,37,134,3
2037,78,135,1
2038,20,135,1
2039,65,135,3
2040,52,139,1
2041,51,131,2
2042,61,141,2
2043,59,136,2
2044,57,140,0
2045,59,123,1
2046,65,126,1
