year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,138,-31,-59,130
1988,203,-195,20,124
1989,74,-101,-157,90
1990,52,-171,-117,108
1991,32,-89,-192,147
1992,53,-147,-94,176
1993,10,-157,46,209
1994,136,-78,-83,125
1995,220,-97,-190,35
1996,-2,-162,-10,122
1997,32,38,-107,95
1998,26,40,23,198
1999,139,-95,-88,123
2000,141,-84,70,77
2001,153,-95,-47,130
2002,124,-105,-88,143
2003,15,-203,-211,89
2004,31,-143,-51,110
2005,105,-87,-74,53
2006,76,-87,-137,115
2007,135,-130,3,123
2008,75,-91,4,85
2009,105,-186,-94,220
2010,41,-191,19,122
2011,68,-215,-33,84
2012,39,-81,-115,138
2013,34,-89,-184,109
2014,-26,-37,4,69
2015,110,-204,-58,94
2016,95,-36,-234,50
