year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1194,10,-70,8
1988,1240,11,-169,12
1989,1373,10,-143,1
1990,1294,9,22,4
1991,1092,10,-124,14
1992,1193,9,-15,0
1993,1112,10,-242,4
1994,1242,10,-328,2
1995,1343,10,-180,2
1996,1254,10,-285,2
1997,914,12,92,3
1998,1183,11,-114,17
1999,1217,11,-163,5
2000,1312,9,-274,1
2001,1317,12,-153,4
2002,1143,10,-36,5
2003,1483,12,-79,0
2004,1212,9,-34,0
2005,1104,9,-24,0
2006,1489,11,-163,2
2007,1190,10,-23,4
2008,1155,12,-20,5
2009,1360,10,-153,4
2010,1382,10,-85,0
2011,1380,10,-197,4
2012,1348,11,-103,0
2013,1379,10,-265,1
2014,899,9,-128,4
2015,1441,9,65,1
2016,1215,9,-71,5
2016
2017,1241,10,-208,13
2018,1382,11,-46,11
2019,1402,10,-125,2
2020,1428,11,-244,2
2021,1281,10,-289,7
2022,1590,10,-204,2
2023,1345,9,-106,9
2024,1184,9,-248,7
2025,1565,12,-258,2
2026,1291,10,-333,3
2027,1637,13,-177,2
2028,1570,10,-185,0
2029,1209,10,-293,8
2030,1397,11,-267,5
2031,1238,12,-116,6
2032,1542,9,-120,8
2033,1393,11,-148,2
2034,1159,11,-133,1
2035,1442,12,-83,2
2036,1493,13,-296,2
2037,1406,10,28,2
2038,1352,9,-134,0
2039,1377,10,-169,1
2040,1339,9,-139,2
2041,1462,10,-126,11
2042,1535,13,-238,7
2043,1334,11,-269,3
2044,1459,11,-117,9
2045,1315,10,-62,3
2046,1557,10,-256,0
