year,annual-hydric-deficit
1987,179
1988,151
1989,-95
1990,-128
1991,-102
1992,-12
1993,108
1994,100
1995,-32
1996,-52
1997,58
1998,287
1999,79
2000,204
2001,141
2002,74
2003,-310
2004,-52
2005,-3
2006,-32
2007,131
2008,73
2009,45
2010,-10
2011,-97
2012,-18
2013,-130
2014,10
2015,-58
2016,-125
