year,A1,A2,A3
,label A1,label A2,label A3
1987,7,3283,73
1988,9,3255,72
1989,7,2811,62
1990,22,3082,138
1991,3,3039,45
1992,1,2933,16
1993,2,2880,44
1994,0,2937,21
1995,6,2878,48
1996,6,2880,53
1997,4,3095,35
1998,9,3060,80
1999,4,2839,64
2000,8,2974,79
2001,13,2921,80
2002,9,2874,61
2003,6,2921,59
2004,10,2609,69
2005,4,2939,27
2006,15,2615,109
2007,8,3157,65
2008,8,2812,64
2009,16,3188,135
2010,12,2748,89
2011,2,3120,46
2012,23,2802,133
2013,20,2924,141
2014,4,2943,37
2015,20,2986,125
2016,8,3190,75
2016
2017,5,2881,54
2018,17,2650,133
2019,20,2450,127
2020,12,2467,88
2021,12,2721,101
2022,36,2583,195
2023,18,2467,128
2024,14,2763,109
2025,21,2741,160
2026,7,2765,66
2027,26,2726,194
2028,24,2554,139
2029,7,2758,79
2030,18,2800,130
2031,3,2608,43
2032,20,2658,149
2033,10,2922,97
2034,5,2558,46
2035,17,2931,130
2036,18,2546,119
2037,17,2734,137
2038,3,2375,47
2039,13,2659,86
2040,21,2612,144
2041,14,2634,131
2042,16,2666,119
2043,10,2734,78
2044,25,2636,172
2045,15,2604,88
2046,21,2564,139
