year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,167,165,286,239
1988,316,123,320,195
1989,157,168,180,164
1990,215,162,200,217
1991,96,175,105,220
1992,159,135,192,236
1993,142,194,392,333
1994,275,215,331,256
1995,231,154,127,77
1996,95,84,244,203
1997,116,190,208,168
1998,185,284,232,304
1999,181,180,181,201
2000,237,156,269,131
2001,199,184,223,207
2002,216,155,237,238
2003,130,176,216,149
2004,216,156,306,154
2005,141,193,257,143
2006,129,149,184,244
2007,254,181,257,180
2008,193,147,222,145
2009,170,133,146,243
2010,125,120,370,183
2011,124,113,224,167
2012,123,152,235,211
2013,114,160,181,208
2014,102,230,237,169
2015,191,105,317,217
2016,188,249,122,123
